,Region,Week,NumFully
0,Canada,2021-09-11,26117524.0
1,Newfoundland and Labrador,2021-09-11,375906.0
2,Nova Scotia,2021-09-11,704444.0
3,Quebec,2021-09-11,6193860.0
4,Manitoba,2021-09-11,940002.0
5,Saskatchewan,2021-09-11,701956.0
6,British Columbia,2021-09-11,3621544.0
7,Yukon,2021-09-11,30880.0
8,Northwest Territories,2021-09-11,27612.0
9,Nunavut,2021-09-11,21124.0
10,Prince Edward Island,2021-09-11,117661.0
11,New Brunswick,2021-09-11,533999.0
12,Alberta,2021-09-11,2676327.0
13,Ontario,2021-09-11,10172209.0
