,week_end,sumTotFul,sumTotPartially
0,2020-12-19,0.0,0.0
1,2020-12-26,0.0,0.0
2,2021-01-02,0.0,0.0
3,2021-01-09,0.0,20.0
4,2021-01-16,0.0,2141.0
5,2021-01-23,0.0,4448.0
6,2021-01-30,0.0,5464.0
7,2021-02-06,286.0,5552.0
8,2021-02-13,2134.0,4362.0
9,2021-02-20,4107.0,2866.0
10,2021-02-27,5081.0,2315.0
11,2021-03-06,5458.0,3736.0
12,2021-03-13,6038.0,4238.0
13,2021-03-20,6465.0,5393.0
14,2021-03-27,6857.0,6284.0
15,2021-04-03,8336.0,5079.0
16,2021-04-10,9463.0,4267.0
17,2021-04-17,10932.0,3320.0
18,2021-04-24,12180.0,2978.0
19,2021-05-01,12528.0,3522.0
20,2021-05-08,12877.0,3537.0
21,2021-05-15,13302.0,3406.0
22,2021-05-22,14109.0,2921.0
23,2021-05-29,14943.0,2287.0
24,2021-06-05,15045.0,2753.0
25,2021-06-12,15380.0,2851.0
26,2021-06-19,15746.0,4072.0
27,2021-06-26,16102.0,4856.0
28,2021-07-03,16467.0,4938.0
29,2021-07-10,17200.0,4699.0
30,2021-07-17,18705.0,3667.0
31,2021-07-24,19252.0,3359.0
32,2021-07-31,19724.0,3076.0
33,2021-08-07,20008.0,2954.0
34,2021-08-14,20277.0,2859.0
35,2021-08-21,20556.0,2809.0
36,2021-08-28,20799.0,2745.0
37,2021-09-04,20964.0,2745.0
38,2021-09-11,21124.0,2875.0
