Geography,Q3_2020,Q4_2020,Q1_2021,Q2_2021,Q3_2021
Canada,"38,037,204","38,033,014","38,068,872","38,153,211","38,246,108"
Newfoundland and Labrador,"521,364","520,194","519,664","519,693","520,553"
Prince Edward Island,"161,329","161,402","161,514","162,596","164,318"
Nova Scotia,"981,889","981,552","982,012","985,776","992,055"
New Brunswick,"783,204","783,257","784,156","785,819","789,225"
Quebec,"8,578,300","8,579,476","8,579,370","8,587,179","8,604,495"
Ontario,"14,745,712","14,740,704","14,759,431","14,795,883","14,826,276"
Manitoba,"1,380,648","1,380,447","1,381,459","1,383,638","1,383,765"
Saskatchewan,"1,179,300","1,178,164","1,178,971","1,180,314","1,179,844"
Alberta,"4,420,029","4,424,557","4,431,454","4,438,772","4,442,879"
British Columbia,"5,158,728","5,156,587","5,163,919","5,185,990","5,214,805"
Yukon,"42,174","42,300","42,344","42,586","42,986"
Northwest Territories ,"45,372","45,265","45,323","45,629","45,504"
Nunavut ,"39,155","39,109","39,255","39,336","39,403"
